ID,PHOTO,NAME,TEAM,FC_BC,#,$,COLLEGE,WEIGHT,HEIGHT,AGE,DOB,EXP,POS
1643158,https://cdn.nba.com/headshots/nba/latest/260x190/1643158.png,Andersson Garcia,UTA,FC,,"4,5",Texas A&M,220,"6'7""",25,23/08/2000,0,SF
1643052,https://cdn.nba.com/headshots/nba/latest/260x190/1643052.png,Chaney Johnson,BKN,FC,31,"4,3",Auburn,220,"6'7""",23,20/06/2002,0,SF
1631223,https://cdn.nba.com/headshots/nba/latest/260x190/1631223.png,David Roddy,DEN,FC,45,"4,9",Colorado State,255,"6'5""",24,27/03/2001,3,PF
1641771,https://cdn.nba.com/headshots/nba/latest/260x190/1641771.png,Jalen Slawson,IND,FC,18,"4,5",Furman,215,"6'7""",26,22/10/1999,1,SF
1642951,https://cdn.nba.com/headshots/nba/latest/260x190/1642951.png,Sean Pedulla,LAC,FC,,"4,5",Mississippi,195,"6'1""",23,10/10/2002,0,PG
