Week,Day,Date,Day Name,Time,Home Team,Away Team,Home Score,Away Score,Status,Game ID,ID,Player,PTS,MP,PS,R,A,B,S
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1642268,Isaiah Collier,21,19,9,2,5,0,0
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1643158,Andersson Garcia,21,25,6,9,0,1,1
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1641989,Elijah Harkless,11,20,5,0,0,1,1
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1628969,Mikal Bridges,20,27,5,5,2,2,0
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1628384,OG Anunoby,35,31,22,2,1,1,2
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1626157,Karl-Anthony Towns,42,30,21,7,7,0,0
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1629013,Landry Shamet,21,31,7,3,4,0,1
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1628973,Jalen Brunson,57,33,28,4,8,0,3
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,203903,Jordan Clarkson,38,26,27,5,3,0,0
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1629011,Mitchell Robinson,28,22,6,13,3,0,1
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1642885,Mohamed Diawara,13,15,10,1,1,0,0
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1630631,Jose Alvarado,26,15,4,2,7,0,2
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1631110,Jeremy Sochan,8,3,4,1,0,0,1
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1642278,Tyler Kolek,3,3,0,1,1,0,0
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1642359,Pacôme Dadiet,1,2,0,1,0,0,0
21,3,12/03/2026,Thursday,01:00,UTA,NYK,117,134,Final,22500949,1641755,Kevin McCullar Jr.,0,2,0,0,0,0,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1629661,Cameron Johnson,39,25,17,2,4,2,2
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,203932,Aaron Gordon,9,22,0,4,1,1,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,203999,Nikola Joki?,72,30,16,12,13,1,5
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1631128,Christian Braun,32,26,19,4,3,0,1
