Game ID,Game URL,Game Recap,Game BoxScore,Game Charts,Game Play_By_Play
22500094,https://www.nba.com/game/mia-vs-mem-0022500094,https://www.nba.com/game/mia-vs-mem-0022500094?watchRecap=true,https://www.nba.com/game/mia-vs-mem-0022500094/box-score,https://www.nba.com/game/mia-vs-mem-0022500094/game-charts,https://www.nba.com/game/mia-vs-mem-0022500094/play-by-play?latest=0
22500095,https://www.nba.com/game/sas-vs-nop-0022500095,https://www.nba.com/game/sas-vs-nop-0022500095?watchRecap=true,https://www.nba.com/game/sas-vs-nop-0022500095/box-score,https://www.nba.com/game/sas-vs-nop-0022500095/game-charts,https://www.nba.com/game/sas-vs-nop-0022500095/play-by-play?latest=0
22500096,https://www.nba.com/game/was-vs-dal-0022500096,https://www.nba.com/game/was-vs-dal-0022500096?watchRecap=true,https://www.nba.com/game/was-vs-dal-0022500096/box-score,https://www.nba.com/game/was-vs-dal-0022500096/game-charts,https://www.nba.com/game/was-vs-dal-0022500096/play-by-play?latest=0
22500019,https://www.nba.com/game/min-vs-lal-0022500019,https://www.nba.com/game/min-vs-lal-0022500019?watchRecap=true,https://www.nba.com/game/min-vs-lal-0022500019/box-score,https://www.nba.com/game/min-vs-lal-0022500019/game-charts,https://www.nba.com/game/min-vs-lal-0022500019/play-by-play?latest=0
22500097,https://www.nba.com/game/gsw-vs-por-0022500097,https://www.nba.com/game/gsw-vs-por-0022500097?watchRecap=true,https://www.nba.com/game/gsw-vs-por-0022500097/box-score,https://www.nba.com/game/gsw-vs-por-0022500097/game-charts,https://www.nba.com/game/gsw-vs-por-0022500097/play-by-play?latest=0
22500098,https://www.nba.com/game/uta-vs-sac-0022500098,https://www.nba.com/game/uta-vs-sac-0022500098?watchRecap=true,https://www.nba.com/game/uta-vs-sac-0022500098/box-score,https://www.nba.com/game/uta-vs-sac-0022500098/game-charts,https://www.nba.com/game/uta-vs-sac-0022500098/play-by-play?latest=0
22500099,https://www.nba.com/game/phx-vs-lac-0022500099,https://www.nba.com/game/phx-vs-lac-0022500099?watchRecap=true,https://www.nba.com/game/phx-vs-lac-0022500099/box-score,https://www.nba.com/game/phx-vs-lac-0022500099/game-charts,https://www.nba.com/game/phx-vs-lac-0022500099/play-by-play?latest=0
22500092,https://www.nba.com/game/mil-vs-tor-0022500092,https://www.nba.com/game/mil-vs-tor-0022500092?watchRecap=true,https://www.nba.com/game/mil-vs-tor-0022500092/box-score,https://www.nba.com/game/mil-vs-tor-0022500092/game-charts,https://www.nba.com/game/mil-vs-tor-0022500092/play-by-play?latest=0
22500100,https://www.nba.com/game/chi-vs-orl-0022500100,https://www.nba.com/game/chi-vs-orl-0022500100?watchRecap=true,https://www.nba.com/game/chi-vs-orl-0022500100/box-score,https://www.nba.com/game/chi-vs-orl-0022500100/game-charts,https://www.nba.com/game/chi-vs-orl-0022500100/play-by-play?latest=0
22500101,https://www.nba.com/game/okc-vs-atl-0022500101,https://www.nba.com/game/okc-vs-atl-0022500101?watchRecap=true,https://www.nba.com/game/okc-vs-atl-0022500101/box-score,https://www.nba.com/game/okc-vs-atl-0022500101/game-charts,https://www.nba.com/game/okc-vs-atl-0022500101/play-by-play?latest=0
22500102,https://www.nba.com/game/cha-vs-phi-0022500102,https://www.nba.com/game/cha-vs-phi-0022500102?watchRecap=true,https://www.nba.com/game/cha-vs-phi-0022500102/box-score,https://www.nba.com/game/cha-vs-phi-0022500102/game-charts,https://www.nba.com/game/cha-vs-phi-0022500102/play-by-play?latest=0
22500103,https://www.nba.com/game/ind-vs-mem-0022500103,https://www.nba.com/game/ind-vs-mem-0022500103?watchRecap=true,https://www.nba.com/game/ind-vs-mem-0022500103/box-score,https://www.nba.com/game/ind-vs-mem-0022500103/game-charts,https://www.nba.com/game/ind-vs-mem-0022500103/play-by-play?latest=0
22500104,https://www.nba.com/game/phx-vs-den-0022500104,https://www.nba.com/game/phx-vs-den-0022500104?watchRecap=true,https://www.nba.com/game/phx-vs-den-0022500104/box-score,https://www.nba.com/game/phx-vs-den-0022500104/game-charts,https://www.nba.com/game/phx-vs-den-0022500104/play-by-play?latest=0
22500112,https://www.nba.com/game/por-vs-lac-0022500112,https://www.nba.com/game/por-vs-lac-0022500112?watchRecap=true,https://www.nba.com/game/por-vs-lac-0022500112/box-score,https://www.nba.com/game/por-vs-lac-0022500112/game-charts,https://www.nba.com/game/por-vs-lac-0022500112/play-by-play?latest=0
22500113,https://www.nba.com/game/lal-vs-sac-0022500113,https://www.nba.com/game/lal-vs-sac-0022500113?watchRecap=true,https://www.nba.com/game/lal-vs-sac-0022500113/box-score,https://www.nba.com/game/lal-vs-sac-0022500113/game-charts,https://www.nba.com/game/lal-vs-sac-0022500113/play-by-play?latest=0
22500105,https://www.nba.com/game/bkn-vs-sas-0022500105,https://www.nba.com/game/bkn-vs-sas-0022500105?watchRecap=true,https://www.nba.com/game/bkn-vs-sas-0022500105/box-score,https://www.nba.com/game/bkn-vs-sas-0022500105/game-charts,https://www.nba.com/game/bkn-vs-sas-0022500105/play-by-play?latest=0
22500106,https://www.nba.com/game/bos-vs-det-0022500106,https://www.nba.com/game/bos-vs-det-0022500106?watchRecap=true,https://www.nba.com/game/bos-vs-det-0022500106/box-score,https://www.nba.com/game/bos-vs-det-0022500106/game-charts,https://www.nba.com/game/bos-vs-det-0022500106/play-by-play?latest=0
22500107,https://www.nba.com/game/mil-vs-cle-0022500107,https://www.nba.com/game/mil-vs-cle-0022500107?watchRecap=true,https://www.nba.com/game/mil-vs-cle-0022500107/box-score,https://www.nba.com/game/mil-vs-cle-0022500107/game-charts,https://www.nba.com/game/mil-vs-cle-0022500107/play-by-play?latest=0
22500108,https://www.nba.com/game/nyk-vs-mia-0022500108,https://www.nba.com/game/nyk-vs-mia-0022500108?watchRecap=true,https://www.nba.com/game/nyk-vs-mia-0022500108/box-score,https://www.nba.com/game/nyk-vs-mia-0022500108/game-charts,https://www.nba.com/game/nyk-vs-mia-0022500108/play-by-play?latest=0
22500109,https://www.nba.com/game/cha-vs-was-0022500109,https://www.nba.com/game/cha-vs-was-0022500109?watchRecap=true,https://www.nba.com/game/cha-vs-was-0022500109/box-score,https://www.nba.com/game/cha-vs-was-0022500109/game-charts,https://www.nba.com/game/cha-vs-was-0022500109/play-by-play?latest=0
22500110,https://www.nba.com/game/ind-vs-min-0022500110,https://www.nba.com/game/ind-vs-min-0022500110?watchRecap=true,https://www.nba.com/game/ind-vs-min-0022500110/box-score,https://www.nba.com/game/ind-vs-min-0022500110/game-charts,https://www.nba.com/game/ind-vs-min-0022500110/play-by-play?latest=0
22500111,https://www.nba.com/game/tor-vs-dal-0022500111,https://www.nba.com/game/tor-vs-dal-0022500111?watchRecap=true,https://www.nba.com/game/tor-vs-dal-0022500111/box-score,https://www.nba.com/game/tor-vs-dal-0022500111/game-charts,https://www.nba.com/game/tor-vs-dal-0022500111/play-by-play?latest=0
22500115,https://www.nba.com/game/atl-vs-chi-0022500115,https://www.nba.com/game/atl-vs-chi-0022500115?watchRecap=true,https://www.nba.com/game/atl-vs-chi-0022500115/box-score,https://www.nba.com/game/atl-vs-chi-0022500115/game-charts,https://www.nba.com/game/atl-vs-chi-0022500115/play-by-play?latest=0
22500116,https://www.nba.com/game/bkn-vs-hou-0022500116,https://www.nba.com/game/bkn-vs-hou-0022500116?watchRecap=true,https://www.nba.com/game/bkn-vs-hou-0022500116/box-score,https://www.nba.com/game/bkn-vs-hou-0022500116/game-charts,https://www.nba.com/game/bkn-vs-hou-0022500116/play-by-play?latest=0
22500117,https://www.nba.com/game/bos-vs-nop-0022500117,https://www.nba.com/game/bos-vs-nop-0022500117?watchRecap=true,https://www.nba.com/game/bos-vs-nop-0022500117/box-score,https://www.nba.com/game/bos-vs-nop-0022500117/game-charts,https://www.nba.com/game/bos-vs-nop-0022500117/play-by-play?latest=0
22500118,https://www.nba.com/game/tor-vs-sas-0022500118,https://www.nba.com/game/tor-vs-sas-0022500118?watchRecap=true,https://www.nba.com/game/tor-vs-sas-0022500118/box-score,https://www.nba.com/game/tor-vs-sas-0022500118/game-charts,https://www.nba.com/game/tor-vs-sas-0022500118/play-by-play?latest=0
